PASSENGERS
==================================================
Email: p.walker1@saferide.com | Password: Password123! | Name: Paul Walker
Email: m.smith2@saferide.com | Password: Password123! | Name: Mary Smith
Email: j.doe3@saferide.com | Password: Password123! | Name: John Doe
Email: a.brown4@saferide.com | Password: Password123! | Name: Alice Brown
Email: r.wilson5@saferide.com | Password: Password123! | Name: Robert Wilson
Email: e.garcia6@saferide.com | Password: Password123! | Name: Elena Garcia
Email: d.lee7@saferide.com | Password: Password123! | Name: David Lee
Email: s.miller8@saferide.com | Password: Password123! | Name: Sarah Miller
Email: k.davis9@saferide.com | Password: Password123! | Name: Kevin Davis
Email: l.rodriguez10@saferide.com | Password: Password123! | Name: Laura Rodriguez
Email: m.jones11@saferide.com | Password: Password123! | Name: Mark Jones
Email: c.white12@saferide.com | Password: Password123! | Name: Chloe White
Email: t.taylor13@saferide.com | Password: Password123! | Name: Thomas Taylor
Email: j.anderson14@saferide.com | Password: Password123! | Name: Jessica Anderson
Email: p.thomas15@saferide.com | Password: Password123! | Name: Peter Thomas
Email: h.jackson16@saferide.com | Password: Password123! | Name: Hannah Jackson
Email: b.moore17@saferide.com | Password: Password123! | Name: Brian Moore
Email: a.martin18@saferide.com | Password: Password123! | Name: Anna Martin
Email: s.clark19@saferide.com | Password: Password123! | Name: Steven Clark
Email: m.lewis20@saferide.com | Password: Password123! | Name: Michelle Lewis

DRIVERS
==================================================
Email: driver.akin1@saferide.com | Password: DriveSafe2026! | Name: Akin Babatunde
Email: driver.chi1@saferide.com | Password: DriveSafe2026! | Name: Chioma Okonkwo
Email: driver.emeka1@saferide.com | Password: DriveSafe2026! | Name: Emeka Uche
Email: driver.funmi1@saferide.com | Password: DriveSafe2026! | Name: Funmilayo Adeyemi
Email: driver.ibrahim1@saferide.com | Password: DriveSafe2026! | Name: Ibrahim Musa
Email: driver.ngoji1@saferide.com | Password: DriveSafe2026! | Name: Ngozi Ezekiel
Email: driver.samuel1@saferide.com | Password: DriveSafe2026! | Name: Samuel Olatunji
Email: driver.bolanle1@saferide.com | Password: DriveSafe2026! | Name: Bolanle Shonubi
Email: driver.yusuf1@saferide.com | Password: DriveSafe2026! | Name: Yusuf Salami
Email: driver.zainab1@saferide.com | Password: DriveSafe2026! | Name: Zainab Bello
Email: driver.oscar1@saferide.com | Password: DriveSafe2026! | Name: Oscar Nwosu
Email: driver.joy1@saferide.com | Password: DriveSafe2026! | Name: Joy Amadi
Email: driver.victor1@saferide.com | Password: DriveSafe2026! | Name: Victor Effiong
Email: driver.faith1@saferide.com | Password: DriveSafe2026! | Name: Faith Idris
Email: driver.sunday1@saferide.com | Password: DriveSafe2026! | Name: Sunday Okon
Email: driver.abigail1@saferide.com | Password: DriveSafe2026! | Name: Abigail Duru
Email: driver.isaac1@saferide.com | Password: DriveSafe2026! | Name: Isaac Adebayo
Email: driver.esther1@saferide.com | Password: DriveSafe2026! | Name: Esther Ogar
Email: driver.peter1@saferide.com | Password: DriveSafe2026! | Name: Peter Obi
Email: driver.cynthia1@saferide.com | Password: DriveSafe2026! | Name: Cynthia Umar
